iso3,year,economy_type,climate_risk_tier,state_output_growth,state_debt_to_gdp,state_primary_balance,state_interest_rate,state_climate_shock,state_adaptation_capital,state_risk_premium,gdp_growth,gdp_growth_UNCORRECTED,debt_to_gdp,weo_primary_balance,real_interest_rate_winsorised,climate_damage_gdp_pct_5yr,ndgain_readiness,r_minus_g_corrected,is_projection
BLZ,1998,Emerging Market,Medium,0.11473997526914753,-0.0424943321553764,0.0001308814868136,0.2509504407087336,,0.0573999775615138,0.04451633531188832,3.880317905563357,3.880317905563357,38.688217,-0.025,0.9129768931997811,,0.38044535112975,-2.9673410123635757,False
BLZ,1999,Emerging Market,Medium,1.3045216064893816,0.034659770849957,-0.0064131928538708,0.2981849796156816,,0.0369655252301309,-0.4741583823274054,9.000900090009,9.000900090009,41.485232,-0.1,1.279127278404839,,0.378452163051029,-7.721772811604161,False
BLZ,2000,Emerging Market,Medium,2.235066765839678,1.0694741800917165,-0.0074602447483803,0.0605591409112158,240.650133741998,0.0298238052846346,-1.1120132445582056,13.005780346820806,13.005780346820806,78.999652,-0.112,-0.5628890594219859,44.40902206858728,0.377755555634002,-13.568669406242792,False
BLZ,2001,Emerging Market,Medium,0.3761746486943588,0.2560328212952567,-0.0078092620465501,-0.0011086002479861,222.70758038783,0.034768682343389,-0.29138738754978116,5.005480453050781,5.005480453050781,49.510518,-0.116,-1.040922034924288,41.09870636456739,0.378237881748958,-6.046402487975069,False
BLZ,2002,Emerging Market,Medium,0.40966523959681056,0.3566008760212484,-0.0038828174421394,-0.1343608856287252,148.4532596858245,0.0436152925239209,-0.4197979416757275,5.149617258176753,5.149617258176753,53.156343,-0.071,-2.0738605741938025,27.399137576378266,0.379100785127183,-7.2234778323705555,False
BLZ,2003,Emerging Market,Medium,1.3736646287588061,0.742979683202042,-0.0092053312392295,-0.1882006831975539,111.32609933482172,0.0928447553128174,-0.9179393562677298,9.29847782925215,9.29847782925215,67.16347,-0.132,-2.4912132799759936,20.549353182283696,0.383902654869587,-11.789691109228144,False
BLZ,2004,Emerging Market,Medium,0.296465471367301,0.8387438518757296,0.0020504766267478,-0.2398390103782646,89.04980312422005,-0.000630507885727,-0.4558477969890002,4.66242809567059,4.66242809567059,70.635143,-0.003,-2.8915007354290805,16.439482545826955,0.37478502464191,-7.55392883109967,False
BLZ,2005,Emerging Market,Medium,-0.23572218901263925,0.8956957702869032,0.0061514298802434,-0.3106406114727333,40.90870003218314,0.2044030289576666,-0.2658523931641245,2.371998842927403,2.371998842927403,72.699782,0.044,-3.4403371190115446,7.557678132109501,0.394784112199868,-5.812335961938947,False
BLZ,2006,Emerging Market,Medium,0.23078867422483618,0.8580913048950775,0.0108631634055362,-0.3831667055354791,-0.0553817181865857,-0.372298394500857,-0.5462182554792615,4.37976829612885,4.37976829612885,71.336533,0.098,-4.002541342721801,0.0,0.338532328027821,-8.38230963885065,False
BLZ,2007,Emerging Market,Medium,-0.025772102582542197,0.7221003280976493,0.0114739436773335,-0.1442484892479489,1.3717555381492297,-0.361096538779105,-0.2237155774342455,3.2755820249052547,3.2755820249052547,66.406545,0.105,-2.1505068156457563,0.2633000319512983,0.339624963392942,-5.426088840551011,False
