t,action,reward,debt_ratio,gdp_growth,inflation,climate_shock,terminated,truncated,episode
25,3,-4.76807358685506,1.3527926206588745,0.022225946187973022,0.19822995364665985,0.5923860669136047,False,False,40
26,1,-4.870082196573868,1.3389136791229248,0.006104881875216961,0.19322995841503143,0.612106442451477,False,False,40
27,3,-4.705665085078557,1.35391366481781,0.008104882203042507,0.19522996246814728,0.5493007302284241,False,False,40
28,1,-4.827994862747487,1.3396798372268677,-0.0076613458804786205,0.19022996723651886,0.5766227841377258,False,False,40
29,1,-4.90334622892548,1.3255599737167358,-0.023541541770100594,0.18522997200489044,0.5880194902420044,False,False,40
30,1,-5.045374260026019,1.3117687702178955,-0.039750292897224426,0.18022997677326202,0.6208751201629639,False,False,40
31,3,-5.0551699108431185,1.3267687559127808,-0.03775029256939888,0.18222998082637787,0.6161403059959412,False,False,40
32,3,-4.976487754912271,1.341768741607666,-0.035750292241573334,0.1842299848794937,0.5819129347801208,False,False,40
33,1,-5.152183639720103,1.3280274868011475,-0.052009038627147675,0.1792299896478653,0.6258745193481445,False,False,40
34,3,-4.845196893637215,1.3430274724960327,-0.05000903829932213,0.18122999370098114,0.5155456066131592,False,False,40
35,1,-5.058465792831102,1.328760027885437,-0.065741628408432,0.17622999846935272,0.573259174823761,False,True,40
0,2,-1.7060752893183482,0.5845370292663574,0.0323709100484848,0.04934827983379364,0.20005306601524353,False,False,41
1,2,-1.780257500663371,0.6187278628349304,0.04132319986820221,0.0603959895670414,0.2095419317483902,False,False,41
2,2,-1.8828362228331539,0.6532885432243347,0.05018303170800209,0.07153616100549698,0.22803398966789246,False,False,41
3,2,-2.0607352917442117,0.6886999607086182,0.05883018299937248,0.08288900554180145,0.27056944370269775,False,False,41
4,2,-1.9789364828030847,0.7232522368431091,0.0676921159029007,0.0940270721912384,0.22761283814907074,False,False,41
5,2,-2.146592325228506,0.7585887908935547,0.07635797560214996,0.105361208319664,0.26682740449905396,False,False,41
6,2,-2.2281183954438974,0.7941303253173828,0.08497259765863419,0.11674658954143524,0.277075856924057,False,False,41
7,2,-2.290850224777201,0.829749584197998,0.09356778860092163,0.12815140187740326,0.28096240758895874,False,False,41
8,2,-2.248630271350909,0.8646861910820007,0.10000000149011612,0.13938555121421814,0.24682894349098206,False,False,41
9,2,-2.4175007153964163,0.9001246094703674,0.10000000149011612,0.15074515342712402,0.27192041277885437,False,False,41
10,2,-2.320705916401149,0.9343145489692688,0.10000000149011612,0.16179263591766357,0.20949718356132507,False,False,41
11,2,-2.5010088316642483,0.9690935015678406,0.10000000149011612,0.17298738658428192,0.2389490008354187,False,False,41
12,2,-2.486928544906493,1.0031771659851074,0.10000000149011612,0.18400831520557404,0.2041858285665512,False,False,41
13,2,-2.6125291385138434,1.0374929904937744,0.10000000149011612,0.195087268948555,0.2157895714044571,False,False,41
14,2,-2.7105180800927924,1.0719373226165771,0.10000000149011612,0.20000000298023224,0.2222145050764084,False,False,41
15,2,-2.9164686196986382,1.107283353805542,0.10000000149011612,0.20000000298023224,0.26730063557624817,False,False,41
16,2,-3.0012672883488114,1.1427221298217773,0.10000000149011612,0.20000000298023224,0.2719409763813019,False,False,41
17,2,-3.0392393910662276,1.1779444217681885,0.10000000149011612,0.20000000298023224,0.2611168324947357,False,False,41
18,2,-3.0938818484477997,1.2130627632141113,0.10000000149011612,0.20000000298023224,0.2559187412261963,False,False,41
19,2,-3.3106054082662846,1.2491449117660522,0.10000000149011612,0.20000000298023224,0.3041052222251892,False,False,41
20,2,-3.462079982685977,1.285748839378357,0.10000000149011612,0.20000000298023224,0.3301941454410553,False,False,41
