t,action,reward,debt_ratio,gdp_growth,inflation,climate_shock,terminated,truncated,episode
8,3,-2.866768718461859,1.34773588180542,0.027576658874750137,0.09735803306102753,0.038154713809490204,False,False,2
9,0,-2.9351370070656397,1.3699958324432373,0.027124658226966858,0.09758403152227402,0.045200150460004807,False,False,2
10,3,-2.823536436796188,1.3849958181381226,0.029124658554792404,0.09958402812480927,0.0,False,False,2
11,1,-2.846894352527422,1.3650718927383423,0.019048573449254036,0.09458402544260025,0.007608453743159771,False,False,2
12,1,-2.824068969115615,1.3450719118118286,0.009048573672771454,0.08958402276039124,0.0,False,False,2
13,0,-2.8640690007805825,1.3650718927383423,0.009048573672771454,0.08958402276039124,0.0,False,False,2
14,0,-2.90406896263361,1.385071873664856,0.009048573672771454,0.08958402276039124,0.0,False,False,2
15,2,-2.9340689244866374,1.4150718450546265,0.019048573449254036,0.09958402067422867,0.0,False,False,2
16,1,-3.001588070492668,1.395291805267334,0.008828640915453434,0.09458401799201965,0.021993227303028107,False,False,2
17,1,-2.950433028763075,1.3753401041030884,-0.0012196475872769952,0.08958401530981064,0.004828855860978365,False,False,2
18,1,-2.9466422930283587,1.3553749322891235,-0.011254487559199333,0.08458401262760162,0.0034839792642742395,False,False,2
19,1,-3.0972450701968657,1.3358995914459229,-0.021779095754027367,0.07958400994539261,0.05246082693338394,False,False,2
20,3,-2.969181404957391,1.350899577140808,-0.01977909542620182,0.08158400654792786,0.0017729077953845263,False,False,2
21,0,-3.1109815090325754,1.3725944757461548,-0.02011808007955551,0.08175349980592728,0.03389837592840195,False,False,2
22,0,-3.0994982633707555,1.3933889865875244,-0.020276978611946106,0.08183294534683228,0.01588984578847885,False,False,2
23,1,-3.1123897844194657,1.3735862970352173,-0.03047424554824829,0.07683294266462326,0.019726719707250595,False,False,2
24,2,-3.086979835675217,1.4036108255386353,-0.020480375736951828,0.08683907240629196,0.0012260581133887172,False,False,2
25,2,-3.1165460020214573,1.4336318969726562,-0.010485650971531868,0.09684434533119202,0.0010550658917054534,False,False,2
26,2,-3.254893492762795,1.4643571376800537,-0.0006669725407846272,0.10702566802501678,0.03626431152224541,False,False,2
27,2,-3.1761004741140644,1.4943571090698242,0.00933302752673626,0.11702566593885422,0.0,False,False,2
28,0,-3.288883773791823,1.515508770942688,0.009102700278162956,0.11714082956314087,0.02303270995616913,False,False,2
29,1,-3.343091568161085,1.495910406112671,-0.0012989474926143885,0.11214082688093185,0.040164779871702194,False,False,2
30,0,-3.3647924920448005,1.517527461051941,-0.0016223503043875098,0.11230252683162689,0.03234028071165085,False,False,2
31,0,-3.307771727289073,1.5375274419784546,-0.0016223503043875098,0.11230252683162689,0.0,False,False,2
