country,year,gdp_current_usd,gdp_growth,debt_to_gdp,inflation,exports_gdp,imports_gdp,gdp_per_capita,population,foreign_reserves,current_account_balance
ECU,1994,22708673336.6683,4.25825042741626,,27.3108817940495,20.279818070143,23.4979294250568,1996.85894789444,11372197.0,2002942790.09083,-3.95584535777111
ECU,1995,24432884442.2211,2.25254865225104,,22.9341344145802,21.2869033721764,24.624367359648,2108.00698245316,11590514.0,1787782198.96368,-4.09288556316314
ECU,1996,25226393196.5983,1.73174762607862,,24.4114592150674,22.2732846879762,21.9424179952391,2135.8479374308,11810950.0,2011360128.31461,-0.217391362976912
ECU,1997,28162053026.5133,4.32786475767577,,30.6575675722173,21.5349262106698,23.4822601074067,2340.76600026857,12031127.0,2212962682.55717,-1.62196981722165
ECU,1998,27981896948.4742,3.26652934570988,,36.0984331623886,17.8919508668257,25.5031570829793,2284.01572847769,12251184.0,1738909755.15919,-7.49949156007604
ECU,1999,19645272636.3182,-4.73938585363382,,52.2420051858225,26.3775416402476,22.82370915869,1575.30234730971,12470795.0,1887630504.49257,4.67349075269474
ECU,2000,17539454727.3637,1.09180164720277,,96.0963756926096,37.5510597560791,27.8532356265599,1382.23421759909,12689206.0,1178958455.54319,6.34355414802445
ECU,2001,23127055000.0,4.20627185748789,,37.6767454518094,27.6071337228194,28.5213530213856,1791.30359685037,12910740.0,1073533298.23222,-2.38325088255005
ECU,2002,27054197000.0,4.92809549611376,,12.4835980082095,25.7144168795696,29.0822270570441,2059.1585535974,13138472.0,1004402765.69838,-4.50586234491732
ECU,2003,30965208000.0,2.88450036512064,,7.92936487461556,26.8417735156179,25.51576918198,2315.62215223014,13372306.0,1165340428.48352,-1.24920361685129
ECU,2004,35194947000.0,6.83239736646514,,2.74323198926704,29.0996886570109,26.9748580669833,2586.20914663347,13608701.0,1439913954.63566,-1.36219189560774
ECU,2005,40278849000.0,5.39862243994342,,2.1682770118372,32.6271488045748,29.3310019856824,2909.02606014388,13846163.0,2147944603.19674,1.17661120468016
ECU,2006,45690762000.0,4.34113198577639,,3.29874846258215,35.7016851677807,30.1406704488754,3243.67010359339,14086131.0,2026480313.69129,3.80804965411109
ECU,2007,49848725000.0,1.90242859700484,,2.27618478002121,37.4824331013481,31.3681523449196,3478.92488770671,14328773.0,3520672992.45779,3.78442738247702
ECU,2008,61139438000.0,6.56492068224719,,8.40009593987462,40.2763008714604,34.3139954933835,4194.75750661981,14575202.0,4472854631.28031,2.89405288656368
ECU,2009,60094978000.0,1.0910129698311,,5.15996829181047,29.3096288345425,28.0377172282183,4053.36331139298,14825954.0,3792122231.6349,0.520924336749102
ECU,2010,68151329000.0,4.02913787986621,,3.55437734567843,32.4856951799135,33.2916897335927,4520.30959039763,15076695.0,2622493356.38252,-2.32172616604527
ECU,2011,78986648000.0,8.48147656332823,,4.4745326579584,36.1133694393513,33.9223143131735,5153.6916424375,15326227.0,2957999383.64451,-0.506587087684931
ECU,2012,87735048000.0,5.783212336172,,5.10172180958666,34.8314108177156,32.1715182739742,5634.08393191094,15572194.0,2486036143.68357,-0.166909556494228
ECU,2013,96570334000.0,7.21123653679159,,2.72177577710371,32.3752665078284,31.058033826413,6109.29031510341,15807128.0,4345840333.46757,-0.966037832420015
ECU,2014,102717794000.0,4.22606520388456,,3.58922016616663,31.3550366940318,30.0713399277247,6405.79979300441,16035124.0,3941357097.57337,-0.651047970913704
ECU,2015,97209558000.0,0.119692109287612,,3.96664623255358,22.754485726599,25.0735539811836,5976.1596805651,16266225.0,2487276599.56405,-2.28484408591192
ECU,2016,97671433000.0,-0.687954245877947,,1.72826463324533,20.53929115589,19.9952006437747,5917.63771271481,16505139.0,4215553160.05677,0.92188082330963
ECU,2017,104467486000.0,5.97039880954841,,0.417335588666825,21.4855873912769,22.1321359260048,6233.32244797718,16759519.0,2169697856.6482,-0.388391058074218
ECU,2018,107478961000.0,1.04429460679607,,-0.224103246005552,23.5438701347327,24.4654774807509,6303.91886658338,17049547.0,2158694032.4143,-1.53392779528097
ECU,2019,107595830000.0,0.1654044646003,,0.266012515466155,24.0486345985713,24.0342148947594,6205.05765246766,17340021.0,2939049266.08469,-0.507141348278065
ECU,2020,95865473000.0,-9.24509619165865,,-0.338872392562139,23.2835621642424,20.7057487735965,5463.64515348598,17546065.0,7136589071.47075,2.09120886370512
ECU,2021,107179074000.0,9.42189269033631,,0.133251386096389,27.0659755840025,26.1953000265705,6061.32350181711,17682454.0,7912190379.51528,2.8367644842999
ECU,2022,116133121000.0,5.86842354862311,,3.46616972213077,30.9252456928287,30.9555471259573,6515.58528418336,17823897.0,8459270681.86545,1.93520574719299
ECU,2023,121147057000.0,1.98823813984235,,2.21568764237058,28.5659295875425,28.4318239773666,6737.84748379638,17980083.0,4441563798.69096,1.93689539590982
ECU,2024,124676074700.0,-2.00125476341026,,1.54732515615369,30.2786006784668,26.9245388746587,6874.705739766,18135478.0,6907743954.50087,5.6617463022325
EGY,1990,42978914311.3504,5.66702915715818,,16.7563747077691,20.3549060542798,32.5678496868476,735.982935028025,58396618.0,3619931742.61285,5.41428288100209
EGY,1991,37387836490.5284,1.12540459520747,,19.7485448195578,27.4666666666667,35.3777777777778,622.829605007867,60028997.0,6185285500.81964,9.010952
EGY,1992,41855986519.4235,4.47285918408184,,13.6374241717218,28.3968368080518,30.9130122214234,680.79923864551,61480660.0,11620220747.8378,7.81250251617541
EGY,1993,46578631452.581,2.90079079959442,,12.0897922868977,25.8376288659794,30.090206185567,740.334217356418,62915681.0,13854276438.8218,5.44885051546392
EGY,1994,51897983392.6453,3.97317218034541,,8.15423128587096,22.5714285714286,28.0571428571429,807.303537230487,64285589.0,14412967684.9265,0.0597325714285714
EGY,1995,60159245060.4541,4.64245877240639,,15.7422305021596,22.5490196078431,27.6960784313726,916.326617700876,65652622.0,17121798673.9485,-0.422212745098039
EGY,1996,67629716981.1321,4.98873056512208,,7.18710369719992,20.7497820401046,26.1987794245859,1008.97637629447,67028048.0,18296476060.6246,-0.283898866608544
EGY,1997,78436578171.0914,5.49235474302942,,4.62560578826438,18.8416698006769,24.8965776607747,1146.20172117634,68431740.0,19370588197.9808,-0.905827378713802
EGY,1998,84828807556.0803,5.575497460986,,3.8725754642749,16.214335421016,25.7132915796799,1212.82259820477,69943294.0,18823907998.2299,-3.02491579679889
EGY,1999,90710704806.8416,6.05343878467555,,3.07949912638332,15.0520156046814,23.3094928478544,1268.30949160496,71520954.0,15190021676.7155,-1.80221287386216
EGY,2000,99838543960.0763,6.37000382991766,,2.68380535348546,16.2011173184358,22.8168185827698,1366.09274372613,73083284.0,13785040867.624,-0.972570273448986
EGY,2001,96684636118.5984,3.53525197391507,,2.26975720475956,17.4797881237803,22.330638416504,1295.1374184163,74652029.0,13598234040.4969,-0.401718427655422
EGY,2002,85146067415.7303,2.39020402573726,,2.73723855000334,18.3161784111903,22.6708894167326,1116.82884626213,76239137.0,14076054422.998,0.730979150171549
EGY,2003,80288461538.4615,3.19345473739745,,4.50777636319304,21.7964071856287,24.3832335329341,1031.27556291284,77853548.0,14603576021.3741,4.66231377245509
EGY,2004,78782467532.4675,4.0920716112534,,11.270619332052,28.2299608489594,29.5899443643107,991.255689145253,79477443.0,15338514716.8958,4.97788419534309
