country,year,imf_debt_gdp
BLR,1997,10.10526
BLR,1998,15.65739
BLR,1999,12.286043
BLR,2000,10.261559
BLR,2001,10.925435
BLR,2002,10.524028
BLR,2003,10.06743
BLR,2004,8.616199
BLR,2005,7.9814981
BLR,2006,8.489744
BLR,2007,11.102777
BLR,2008,12.496513
BLR,2009,21.428991
BLR,2010,22.485133
BLR,2011,46.911792
BLR,2012,30.315991
BLR,2013,30.836012
BLR,2014,32.93696
BLR,2015,46.914172
BLR,2016,47.147875
BLR,2017,47.214587
BLR,2018,42.513821
BLR,2019,37.604828
BLR,2020,44.119346
BLR,2021,38.76906
BLR,2022,36.715937
BLZ,1990,30.00096
BLZ,1991,30.934147
BLZ,1992,31.029056
BLZ,1993,30.661877
BLZ,1994,31.451481
BLZ,1995,35.697187
BLZ,1996,38.354075
BLZ,1997,39.403894
BLZ,1998,38.688217
BLZ,1999,41.485232
BLZ,2000,78.999652
BLZ,2001,49.510518
BLZ,2002,53.156343
BLZ,2003,67.16347
BLZ,2004,70.635143
BLZ,2005,72.699782
BLZ,2006,71.336533
BLZ,2007,66.406545
BLZ,2008,64.649831
BLZ,2009,69.710271
BLZ,2010,68.546626
BLZ,2011,66.382765
BLZ,2012,63.387363
BLZ,2013,62.854524
BLZ,2014,61.543249
BLZ,2015,65.07891
BLZ,2016,70.438131
BLZ,2017,78.105669
BLZ,2018,78.769926
BLZ,2019,78.386203
BLZ,2020,103.26122
BLZ,2021,82.482711
BLZ,2022,66.823331
BLZ,2023,67.177027
BLZ,2024,60.9548
BOL,1990,104.85484
BOL,1991,94.622201
BOL,1992,94.109236
BOL,1993,85.404662
BOL,1994,89.045714
BOL,1995,83.042026
BOL,1996,73.551862
BOL,1997,65.551182
BOL,1998,62.216909
BOL,1999,62.495919
BOL,2000,74.317578
BOL,2001,82.976911
BOL,2002,86.686661
BOL,2003,95.644509
BOL,2004,89.810294
BOL,2005,82.158027
BOL,2006,54.375074
BOL,2007,40.0317
BOL,2008,36.785005
BOL,2009,39.209312
BOL,2010,37.637375
BOL,2011,35.326718
