country,year,disaster_count,total_damage_usd
KEN,2007,4,0.0
KEN,2008,8,0.0
KEN,2009,2,0.0
KEN,2010,3,0.0
KEN,2011,5,0.0
KEN,2012,1,136628000.0
KEN,2013,4,48476000.0
KEN,2014,1,0.0
KEN,2015,3,0.0
KEN,2016,3,0.0
KEN,2017,1,0.0
KEN,2018,3,437229000.0
KEN,2019,3,0.0
KEN,2020,2,315129000.0
KEN,2021,1,0.0
KEN,2023,3,0.0
KEN,2024,4,0.0
LKA,2000,3,5465000.0
LKA,2001,2,0.0
LKA,2002,1,0.0
LKA,2003,1,49451000.0
LKA,2004,1,0.0
LKA,2005,1,0.0
LKA,2006,1,4668000.0
LKA,2007,3,76000.0
LKA,2008,4,0.0
LKA,2009,3,0.0
LKA,2010,2,151050000.0
LKA,2011,4,697275000.0
LKA,2012,3,79518000.0
LKA,2013,3,2693000.0
LKA,2014,7,35776000.0
LKA,2015,2,0.0
LKA,2016,2,1594537000.0
LKA,2017,3,940607000.0
LKA,2018,3,0.0
LKA,2019,6,0.0
LKA,2020,3,0.0
LKA,2021,5,0.0
LKA,2022,5,0.0
LKA,2023,5,0.0
LKA,2024,4,0.0
MAR,2000,3,1474000.0
MAR,2001,1,3897000.0
MAR,2002,1,348785000.0
MAR,2003,1,0.0
MAR,2005,1,80000.0
MAR,2006,3,0.0
MAR,2008,1,0.0
MAR,2009,2,0.0
MAR,2010,2,41719000.0
MAR,2012,1,0.0
MAR,2014,3,397517000.0
MAR,2016,1,0.0
MAR,2017,2,0.0
MAR,2018,1,0.0
MAR,2019,3,0.0
MAR,2021,2,0.0
MAR,2024,2,0.0
MEX,2000,6,1822000.0
MEX,2001,5,710407000.0
MEX,2002,7,1831123000.0
MEX,2003,8,170522000.0
MEX,2004,3,5979000.0
MEX,2005,7,12705505000.0
MEX,2006,7,4201000.0
MEX,2007,7,5446450000.0
MEX,2008,3,109273000.0
MEX,2009,7,58487000.0
MEX,2010,8,8510603000.0
MEX,2011,11,833522000.0
MEX,2012,2,1168167000.0
MEX,2013,5,7678042000.0
MEX,2014,6,3367632000.0
MEX,2015,4,1091877000.0
MEX,2016,7,98025000.0
MEX,2017,5,2559000.0
MEX,2018,3,679335000.0
MEX,2019,6,469937000.0
MEX,2020,7,406033000.0
MEX,2021,9,1007160000.0
MEX,2022,5,54666000.0
MEX,2023,2,12353941000.0
MEX,2024,8,2590000000.0
MWI,2000,1,1822000.0
MWI,2001,2,11870000.0
MWI,2002,3,0.0
MWI,2003,2,0.0
MWI,2005,3,0.0
MWI,2006,2,0.0
MWI,2007,5,0.0
MWI,2008,1,0.0
MWI,2010,1,0.0
MWI,2011,3,0.0
MWI,2012,4,0.0
MWI,2013,1,0.0
MWI,2015,3,516160000.0
MWI,2016,1,0.0
MWI,2017,1,0.0
MWI,2018,3,0.0
MWI,2019,3,0.0
MWI,2020,1,0.0
MWI,2021,1,0.0
MWI,2022,4,0.0
MWI,2023,1,521655000.0
MWI,2024,4,400000000.0
MYS,2000,2,1822000.0
MYS,2001,4,0.0
MYS,2002,2,0.0
MYS,2003,3,0.0
MYS,2004,5,16608000.0
MYS,2005,3,0.0
MYS,2006,4,34233000.0
MYS,2007,2,1464490000.0
MYS,2008,2,0.0
MYS,2009,2,0.0
MYS,2011,2,0.0
MYS,2013,1,2693000.0
MYS,2014,2,376316000.0
MYS,2015,1,0.0
MYS,2016,4,172524000.0
MYS,2017,4,0.0
MYS,2018,2,0.0
MYS,2019,4,0.0
MYS,2020,5,8242000.0
MYS,2021,8,1690174000.0
MYS,2022,6,257000.0
MYS,2023,4,0.0
NER,2000,1,0.0
NER,2001,2,0.0
NER,2002,1,0.0
NER,2003,1,0.0
NER,2005,1,0.0
NER,2006,1,0.0
NER,2007,1,0.0
NER,2008,1,0.0
NER,2009,2,0.0
NER,2010,2,0.0
NER,2011,3,0.0
NER,2012,1,251552000.0
NER,2013,2,87154000.0
NER,2014,1,2650000.0
NER,2015,2,0.0
NER,2016,2,0.0
NER,2017,3,12797000.0
NER,2018,1,0.0
NER,2019,2,0.0
NER,2020,3,12120000.0
NER,2021,1,0.0
NER,2022,2,0.0
NER,2023,1,0.0
NER,2024,1,225000000.0
NGA,2000,9,12214000.0
NGA,2001,3,5315000.0
NGA,2002,2,0.0
NGA,2003,1,4382000.0
NGA,2004,5,0.0
NGA,2005,2,236000.0
NGA,2006,3,0.0
NGA,2007,3,0.0
NGA,2009,2,0.0
NGA,2010,1,43157000.0
NGA,2011,5,6275000.0
NGA,2012,2,684505000.0
NGA,2013,1,0.0
NGA,2014,1,0.0
NGA,2015,1,33087000.0
NGA,2016,2,0.0
NGA,2017,2,0.0
NGA,2018,2,343537000.0
NGA,2019,2,0.0
NGA,2020,3,121204000.0
NGA,2021,2,0.0
NGA,2022,3,4501868000.0
NGA,2023,2,0.0
NGA,2024,3,225000000.0
NLD,2002,1,523178000.0
NLD,2003,1,0.0
NLD,2005,3,160626000.0
NLD,2006,1,0.0
NLD,2007,1,832096000.0
NLD,2008,1,0.0
NLD,2010,1,40280000.0
NLD,2012,1,0.0
NLD,2013,3,13466000.0
NLD,2016,1,1103106000.0
NLD,2018,2,137429000.0
NLD,2019,1,0.0
NLD,2020,1,0.0
NLD,2021,2,0.0
NLD,2022,2,609274000.0
NLD,2023,2,0.0
NLD,2024,2,50000000.0
PAK,2000,1,0.0
PAK,2001,4,435810000.0
PAK,2002,6,52000.0
PAK,2003,6,0.0
PAK,2004,2,0.0
PAK,2005,8,48188000.0
PAK,2006,9,0.0
PAK,2007,10,2945800000.0
PAK,2008,3,150068000.0
PAK,2009,3,0.0
PAK,2010,7,13807431000.0
PAK,2011,1,3486375000.0
PAK,2012,5,3415693000.0
PAK,2013,2,2019829000.0
PAK,2014,3,2673965000.0
PAK,2015,7,1323000.0
PAK,2016,8,2614000.0
PAK,2017,5,140771000.0
PAK,2018,2,0.0
PAK,2019,10,0.0
PAK,2020,6,1818057000.0
PAK,2021,6,11577000.0
PAK,2022,4,16078100000.0
PAK,2023,12,0.0
PAK,2024,6,0.0
PHL,2000,10,159474000.0
PHL,2001,9,189669000.0
PHL,2002,11,27606000.0
PHL,2003,10,72134000.0
PHL,2004,12,230625000.0
PHL,2005,4,4040000.0
PHL,2006,19,540390000.0
PHL,2007,14,25047000.0
PHL,2008,20,701095000.0
PHL,2009,23,1406631000.0
PHL,2010,13,482048000.0
PHL,2011,30,1018053000.0
PHL,2012,18,1357351000.0
PHL,2013,13,16658673000.0
PHL,2014,12,1409451000.0
PHL,2015,16,2601930000.0
PHL,2016,10,235356000.0
PHL,2017,11,180284000.0
PHL,2018,8,707246000.0
PHL,2019,9,691916000.0
PHL,2020,7,1266547000.0
PHL,2021,13,1215807000.0
PHL,2022,9,185511000.0
PHL,2023,11,370670000.0
PHL,2024,15,913110000.0
SLE,2004,1,0.0
SLE,2005,1,0.0
SLE,2007,1,0.0
SLE,2009,1,0.0
SLE,2010,2,0.0
SLE,2011,1,0.0
SLE,2013,1,0.0
SLE,2015,1,0.0
SLE,2017,1,38392000.0
SLE,2019,2,0.0
SLE,2022,1,0.0
SLE,2023,1,0.0
SLE,2024,1,0.0
SOM,2000,4,0.0
SOM,2001,1,0.0
SOM,2003,2,0.0
SOM,2004,2,0.0
SOM,2005,3,32000.0
SOM,2006,4,0.0
SOM,2007,2,0.0
SOM,2008,2,0.0
SOM,2009,1,0.0
SOM,2010,3,0.0
SOM,2011,1,0.0
SOM,2012,3,0.0
SOM,2013,3,2693000.0
SOM,2014,2,0.0
SOM,2015,5,0.0
SOM,2016,1,0.0
SOM,2018,2,99938000.0
SOM,2019,3,0.0
SOM,2020,3,0.0
SOM,2021,2,1149550000.0
SOM,2022,1,0.0
SOM,2023,4,0.0
SOM,2024,1,0.0
SSD,2008,3,0.0
SSD,2009,1,0.0
SSD,2010,2,0.0
SSD,2012,2,0.0
SSD,2013,2,0.0
SSD,2016,2,0.0
SSD,2019,3,0.0
SSD,2020,1,0.0
SSD,2021,2,0.0
SSD,2022,1,0.0
SSD,2024,1,0.0
SWE,2002,1,0.0
SWE,2005,2,4497524000.0
SWE,2013,2,0.0
SWE,2018,1,127421000.0
SWE,2020,1,0.0
SWE,2021,1,81036000.0
SWE,2022,1,0.0
SWE,2023,1,0.0
SWE,2024,1,0.0
TCD,2001,2,1772000.0
TCD,2006,1,0.0
TCD,2007,3,0.0
TCD,2008,2,0.0
TCD,2009,3,0.0
TCD,2010,1,0.0
TCD,2012,3,13663000.0
TCD,2017,1,0.0
TCD,2019,2,0.0
TCD,2020,2,0.0
TCD,2021,1,0.0
TCD,2022,2,0.0
TCD,2024,2,380000000.0
THA,2000,5,198662000.0
THA,2001,6,50490000.0
THA,2002,6,69979000.0
THA,2003,4,45017000.0
THA,2004,6,290632000.0
THA,2005,6,1057313000.0
THA,2006,3,54369000.0
THA,2007,5,2269000.0
THA,2008,6,40567000.0
THA,2009,1,0.0
THA,2010,2,477606000.0
THA,2011,3,56224069000.0
THA,2012,2,1640000.0
THA,2013,3,779654000.0
THA,2014,7,13251000.0
THA,2015,2,4368249000.0
THA,2016,4,189515000.0
THA,2017,6,1674410000.0
THA,2019,3,0.0
THA,2020,7,72722000.0
THA,2021,6,684173000.0
THA,2022,11,13934000.0
THA,2023,3,0.0
THA,2024,7,1114000000.0
TUR,2000,3,74688000.0
TUR,2001,5,44290000.0
TUR,2002,2,0.0
TUR,2004,6,0.0
